region,anio,periodo,fuerza_trabajo,fuerza_trabajo_potencial,pct_poblacion_edad_trabajar,poblacion_desocupada,poblacion_edad_trabajar,poblacion_fuera_fuerza_trabajo,poblacion_ocupada,poblacion_subocupada,poblacion_total,td,tgp,to,ts
Orinoquía/Amazonía/Insular,2024,II,248.519833,9.709022,75.681402,34.396878,355.0125,106.492667,214.122954,15.256286,469.088167,13.840697,70.003122,60.314201,6.138861
Orinoquía/Amazonía/Insular,2025,I,249.625105,7.523367,75.871809,35.361109,358.298167,108.673062,214.263995,12.043682,472.2415,14.165686,69.669657,59.800472,4.824708
Orinoquía/Amazonía/Insular,2025,II,250.854041,8.522644,76.057268,26.412562,361.519349,110.665308,224.441479,11.477407,475.325182,10.529056,69.388828,62.08284,4.575333
Pacífica,2010,I,3831.570676,0.0,72.50424,565.858827,5577.116167,1745.54549,3265.71185,525.045961,7692.124167,14.768325,68.701647,58.555564,13.703152
Pacífica,2010,II,3857.251249,0.0,72.704891,556.571063,5612.102667,1754.851418,3300.680186,546.654947,7719.016667,14.429215,68.730946,58.81361,14.172137
Pacífica,2011,I,3806.873004,0.0,72.90466,563.827159,5646.979167,1840.106163,3243.045845,479.875283,7745.704,14.810769,67.414327,57.429747,12.605498
Pacífica,2011,II,3901.625057,0.0,73.101165,504.073028,5680.765833,1779.140777,3397.552028,493.041493,7771.101667,12.919566,68.681322,59.807993,12.636824
Pacífica,2012,I,3850.348634,0.0,73.297137,519.43301,5713.8015,1863.452866,3330.915624,509.188203,7795.395167,13.490545,67.386811,58.295963,13.22447
Pacífica,2012,II,3854.26374,0.0,73.488963,483.491226,5745.278667,1891.014926,3370.772514,535.098521,7817.879667,12.544321,67.085758,58.670305,13.883288
Pacífica,2013,I,3866.981476,0.0,73.678585,509.932962,5775.793833,1908.812358,3357.048513,520.246374,7839.175833,13.186848,66.951515,58.122721,13.453552
Pacífica,2013,II,3898.158958,0.0,73.863919,461.188254,5805.575667,1907.416708,3436.970705,542.137459,7859.826167,11.830925,67.145089,59.201204,13.907526
Pacífica,2014,I,3841.759813,0.0,74.049236,487.977896,5835.671833,1993.912021,3353.781916,505.415247,7880.7995,12.701937,65.832348,57.470365,13.155826
Pacífica,2014,II,3864.677787,0.0,74.229475,421.020302,5865.472667,2000.794879,3443.657486,507.726396,7901.810833,10.89406,65.888599,58.710656,13.137613
Pacífica,2015,I,3915.6267,0.0,74.410561,459.704985,5896.358833,1980.732133,3455.921715,540.169152,7924.088667,11.740266,66.407537,58.611116,13.795216
Pacífica,2015,II,3975.627476,0.0,74.584175,399.503434,5927.591333,1951.963858,3576.124042,574.92996,7947.518833,10.048815,67.069865,60.330138,14.461364
Pacífica,2016,I,3981.083988,0.0,74.754801,431.194167,5959.267333,1978.183346,3549.88982,541.235387,7971.752,10.831074,66.804924,59.569233,13.595176
Pacífica,2016,II,3977.180454,0.0,74.911473,371.856013,5987.941333,2010.76088,3605.324441,472.422368,7993.356833,9.34974,66.41983,60.209749,11.878324
Pacífica,2017,I,4021.393927,0.0,75.063287,412.718519,6017.361667,1995.96774,3608.675408,477.591653,8016.3845,10.263071,66.829853,59.971057,11.876271
Pacífica,2017,II,3955.619917,0.0,75.212843,385.295912,6053.439833,2097.819917,3570.324005,418.631156,8048.4125,9.740469,65.344994,58.980086,10.5832
Pacífica,2018,I,3987.110337,0.0,75.364679,413.751404,6095.154333,2108.043997,3573.358932,451.329775,8087.547667,10.377225,65.414428,58.626226,11.319721
Pacífica,2018,II,3935.594634,0.0,75.517148,385.98854,6132.283167,2196.688533,3549.606093,491.164867,8120.385,9.80763,64.178293,57.883923,12.480068
Pacífica,2019,I,3891.369381,0.0,75.670831,434.652879,6162.612667,2271.243286,3456.716501,462.231281,8143.973833,11.169664,63.144799,56.091737,11.878371
Pacífica,2019,II,3967.239497,0.0,75.818347,427.073119,6190.085833,2222.846337,3540.166378,440.373241,8164.364,10.764995,64.090218,57.190909,11.100243
Pacífica,2020,I,3583.21439,0.0,75.968452,610.829939,6218.584167,2635.369777,2972.384451,0.0,8185.7455,17.046983,57.621064,47.798412,0.0
Pacífica,2020,II,3794.195643,0.0,76.117859,601.128757,6246.359167,2452.163523,3193.066887,0.0,8206.167667,15.843378,60.742515,51.118849,0.0
Pacífica,2021,I,3800.986707,303.494967,76.277943,561.073111,6275.014,2474.027293,3239.913596,240.014231,8226.511833,14.761249,60.573358,51.631974,6.314524
Pacífica,2021,II,3910.269799,279.863222,76.431657,460.906772,6305.236833,2394.967034,3449.363027,294.422714,8249.5095,11.787084,62.016224,54.70632,7.529473
Pacífica,2022,I,4120.872527,376.139405,76.591583,471.945942,6338.006833,2217.134306,3648.926585,376.209082,8275.069667,11.452573,65.01843,57.572147,9.129355
Pacífica,2022,II,4179.923713,360.042144,76.745929,429.92161,6370.557,2190.633287,3750.002102,409.607764,8300.840333,10.285394,65.613159,58.864588,9.799408
Pacífica,2023,I,4201.217228,373.644244,76.898148,456.609218,6402.766167,2201.548939,3744.60801,436.644782,8326.294333,10.868498,65.615659,58.484222,10.393292
Pacífica,2023,II,4220.807506,373.681271,77.028847,402.761048,6433.5005,2212.692994,3818.046458,452.876597,8352.0665,9.542275,65.606702,59.34633,10.72962
Pacífica,2024,I,4237.345484,398.774893,77.151582,466.61918,6464.290833,2226.945349,3770.726304,433.942511,8378.688667,11.012064,65.550044,58.331631,10.240905
Pacífica,2024,II,4229.939595,365.314893,77.283975,385.821865,6496.286,2266.346405,3844.11773,393.923396,8405.734833,9.121215,65.113198,59.174084,9.312743
Pacífica,2025,I,4205.147065,350.675668,77.435143,372.074977,6530.341167,2325.194101,3833.072088,352.350202,8433.304167,8.848085,64.393987,58.696353,8.379022
Pacífica,2025,II,4248.135855,392.442761,77.585686,330.243419,6564.595667,2316.459812,3917.892436,302.658276,8461.091167,7.773843,64.712833,59.682159,7.124496
